Overview,Website,Industry,Company size,Headquarters,Founded,Specialties,Phone
"D. E. Shaw India Private Limited (D. E. Shaw India) is an integral part of the D. E. Shaw group, a global investment & technology development firm. Established in 1996 as a technological development center, D. E. Shaw India has expanded its business into a broad range of software and financial activities. Its staff collaborates with colleagues around the world not only to build cutting-edge proprietary software systems that form an intrinsic part of the D. E. Shaw group’s investment activities but also to provide research & operations support to the firm’s systematic, discretionary, & hybrid strategies.

Founded in 1988, the D. E. Shaw group quickly became a pioneer in computational finance. Today, the firm has offices around the globe & an institutional-grade infrastructure. We believe that our diverse & inclusive work culture drives creativity, productivity, & performance.

An entrepreneurial spirit has always been a part of D. E. Shaw group’s culture. When external platforms don’t meet our needs, we build our own. We created one of the first NoSQL databases in our industry, built a powerful data analysis library for Python before Pandas existed, & built a modern web engineering framework tailored to the firm’s needs.

This profile & any links posted through this profile (together, the “Content”) are provided for your information only & do not convey investment advice or an offer of any type with respect to any securities or other financial products. The D. E. Shaw group does not endorse any information or beliefs discussed in any links posted through this profile & makes no representation as to the accuracy or adequacy of the Content. The Content has not been updated for any information that may have changed since publication. No assurances can be given that any aims, assumptions, or expectations expressed or implied in the Content were or will be realized, or that the activities described have continued or will continue at all or in the same manner as described.",http://www.deshawindia.com/,Financial Services,"501-1,000 employees 866 on LinkedIn
            
 



    Includes members with current employer listed as D. E. Shaw India Private Limited, including part-time roles.","Hyderabad, Telangana",1996,,
"Manappuram Finance Ltd. is one of India’s largest and most trusted gold loan companies, with 4,199 branches across the length and breadth of the country. It currently has nearly Rs. 157.65 billion worth assets under management (AUM), and 20,185 employees.

Promoted by Shri. V.P. Nandakumar, the current MD & CEO, the company was founded in the modest coastal village of Valapad (Thrissur District) by his late father Mr. V.C. Padmanabhan in 1949. The first non-banking financial company (NBFC) in Kerala to receive a Certificate of Registration issued by the RBI, it was also among the earliest to go for an IPO in 1995. In 2007 Sequoia Capital invested Rs.700 million along with Hudson Equity Holdings, heralding a period of accelerated growth, and in 2010 it became the first NBFC in Kerala to obtain the highest short term credit rating of A1+ from ICRA. In 2010, it became the first Kerala-based NBFC to offer ESOPs (Employee Stock Option Plan) to its middle and senior management functionaries.

As a pioneer and trailblazer, Manappuram Finance Ltd. has always been an innovator par excellence in the gold loan product and the adoption of technology. Besides focus on the business, the cause of the wider community is central to the vision of the company. The Manappuram Foundation was established in October 2009 to drive the company’s initiatives in Corporate Social Responsibility (CSR).

In recent years, the company has diversified into new business areas like micro-finance, vehicle and housing finance, and SME lending through the subsidiaries Manappuram Home Finance Ltd, Manappuram Insurance Brokers Ltd, and Asirvad Microfinance Limited.

Our mission is to make life easy for common people of India with instant and easy loans, with a vision of unlocking the value of their savings in gold jewellery.",https://www.manappuram.com,Financial Services,"10,001+ employees 6,804 on LinkedIn
            
 



    Includes members with current employer listed as Manappuram Finance Limited, including part-time roles.","Thrissur, Kerala",1949,"Gold Loan, Online Gold Loan, SME Finance, Forex & Money Transfer, Commercial Vehicle Loan, and Home Finance",
"Upstox is an online investment brand of RKSV Securities. Incorporated in 2009, RKSV is a Mumbai, India based SEBI registered financial service provider. RKSV offers online stock trading, commodity trading, currency derivatives trading, mutual funds, and demat account. RKSV Sec is a member of NSE, BSE, MCX, NCDEX, NSDL, and CDSL.
Upstox offers a fast, reliable & easy-to-use trading platform for traders in Indian stock market.
Upstox offers low-cost trading services. The equity delivery (cash & carry) trading is offered for free to the customer. No brokerage is charge for orders placed in this segment. For all other trading segments across exchange, upstox charge flat Rs 20 per trade brokerage.

Upstox is a company that has significantly invested in technology. It provides excellent trading platform and tools to its customers. This includes Upstox Pro Web, Upstox MF, Upstox Pro Mobile, and Algo Lab etc.",http://www.upstox.com,Financial Services,"201-500 employees 1,543 on LinkedIn
            
 



    Includes members with current employer listed as Upstox, including part-time roles.","Mumbai, Maharashtra",2009,Financial Services,
"Cholamandalam Investment and Finance Company Limited (Chola), incorporated in 1978 as the financial services arm of the Murugappa Group. Chola commenced business as an equipment financing company and has today emerged as a comprehensive financial services provider offering vehicle finance, home loans, home equity loans, SME loans, investment advisory services, stock broking and a variety of other financial services to customers. 
 
Chola operates from 885 branches across India with assets under management above INR 35,000 Crores. The subsidiaries of Chola are Cholamandalam Securities Limited (CSEC), Cholamandalam Distribution Services Limited (CDSL) and White Data Systems India Private Limited (WDSI).
 
The vision of Chola is to enable customers enter a better life. Chola has a growing clientele of over 7.75 lakh happy customers across the nation. Ever since its inception and all through its growth, the company has kept a clear sight of its values. The basic tenet of these values is a strict adherence to ethics and a responsibility to all those who come within its corporate ambit - customers, shareholders, employees and society. 

Ever since its inception and all through its growth, the company has kept a clear sight of its values. The basic tenet of these values is a strict adherence to ethics and a responsibility to all those who come within its corporate ambit ­- customers, shareholders, employees and society.",http://www.cholamandalam.com,Financial Services,"10,001+ employees 8,221 on LinkedIn
            
 



    Includes members with current employer listed as Cholamandalam Investment and Finance Company Limited, including part-time roles.","Chennai, Tamil Nadu",1978,"Vehicle Finance, Home Equity, Home Loans, SME Loans, Rural & Agri Loans, Wealth Management, Stock Broking, and Tractor Loans",
"Prosus is a global consumer internet company and one of the largest technology investors the world. Operating and investing globally in markets with long-term growth potential, Prosus builds leading consumer internet companies that empower people and enrich communities.

We are focused on building meaningful businesses in the online classifieds, food delivery, and payments and fintech sectors, in markets including India and Brazil. Through our ventures team investments, in areas including edtech and health, Prosus actively seeks new opportunities to partner with exceptional entrepreneurs who are using technology to address big societal needs.

Every day, millions of people use the products and services of companies that Prosus has invested in, acquired or built, including Brainly, BYJU’S, Codecademy, eMAG, Honor, iFood, LazyPay, letgo, Meesho, Movile, OLX, PayU, Red Dot Payments, Remitly, SimilarWeb, SoloLearn, Swiggy, and Udemy.

Our journey in India started in 2005, when we – under the name of our parent company Naspers – first started exploring investment opportunities with Indian entrepreneurs. Early investments helping to build and support Indian businesses included Ibibio, Goibibo, Flipkart, OLX, PayU and more.  

Over the past six years under CEO Bob van Dijk, we’ve accelerated further by investing more than US$5 billion in our Indian operations and partner companies. This includes technology-led companies in sectors as varied as ecommerce, education, food delivery, payments and fintech, travel and more. 

Today, our commitment to India is as strong as ever and we continue to invest in both our existing companies and in new ventures.

To learn more about Prosus visit www.prosus.com
 
Prosus has a primary listing on Euronext Amsterdam (AEX:PRX) and a secondary listing on the Johannesburg Stock Exchange (XJSE:PRX), and is majority owned by Naspers.",www.prosus.com,Investment Management,"501-1,000 employees",,2019,,
"Effective 18th December 2018, Capital First & IDFC Bank have merged. The merged entity is now IDFC FIRST Bank.

The vision of Capital First is to serve and finance India’s 50 million Indian Enterprises and large emerging middle class, with a differentiated model, based on new technologies. Unlike traditional models of financing, Capital First has successfully created new models of financing customers in the hitherto unbanked and under-served segments. 

The company was founded in 2012 by Mr. V Vaidyanathan by a classical Management Buyout of an existing company, by securing equity support from Private Equity, which included change of shareholders through open offer to public, change of board, recapitalisation, change of business model and creation of a new brand and entity Capital First.   

Within eight years of starting up, the company has disbursed loans worth over Rs. 57,000 crores to over 7 million customers with loan outstanding of Rs. 298.56 Bn (USD 4.59) as on June 30, 2018. Capital First has consistently maintained high asset quality over the years- the Gross and Net NPA of the Company are 1.57% and 1.00% respectively as of June 30, 2018 on 90 DPD NPA recognition basis. 

If you wish to join us and be a part of a growing organization too, do visit us at https://www.capitalfirst.com/job",http://www.capitalfirst.com/,Financial Services,"1,001-5,000 employees 2,698 on LinkedIn
            
 



    Includes members with current employer listed as Capital First Limited, including part-time roles.","Mumbai, Maharashtra",2010,"Loan against property, Pre-owned Car Loans, Home Loans, Consumer Durable Loans, Two Wheeler Loans, Business Loans, Personal Loans, Micro Business Loans, and Self Employed Professional Loans",
"With over 30 years of experience in fund management, we at SBI Funds Management Pvt. Ltd., bring forward our expertise by consistently delivering value to our investors. We are a Joint Venture between SBI & AMUNDI, one of the world's leading fund management companies.

We have a strong and proud lineage that traces back to the State Bank of India (SBI) - India's largest bank. Our mission has been to establish Mutual Funds as a viable investment option to the masses in the country. Today, we have been actively managing our investor's assets not only through our investment expertise in domestic mutual funds, but also through offshore funds and portfolio management advisory services.

With our network across India, we deliver value and nurture the trust of our vast and varied family of investors. Excellence has no substitute. And to ensure excellence right from the first stage of product development to the post-investment stage, we are ably guided by our philosophy of ‘growth through innovation’ and our stable investment policies. This dedication is what helps our customers achieve their financial objectives. This makes us one of the largest investment management firms in India, managing investment mandates of over 5.4 million investors.

Disclaimer
Mutual Fund investments are subject to market risks, read all scheme related documents carefully.",http://www.sbimf.com,Financial Services,"501-1,000 employees 2,131 on LinkedIn
            
 



    Includes members with current employer listed as SBI MUTUAL FUND, including part-time roles.","Mumbai, Maharashtra",,,
"Reliance Home Finance (RHF) is one of India's leading home finance companies in the private sector. We provide financial solutions like Loans Against Property, Housing Finance Loans, Construction Funding loans. 
 
At the core of brand Reliance Home Finance (RHF) is our proposition – “Sapne Adhure, Hum Karein Poore”…. We are committed to fulfilling the dreams of entrepreneurs in the country. Our customers have never seen shortage of capital coming in their way of realizing their dreams, and that's how we are promoting and upholding our ethos.  We offer the best financial solutions for our costumers - through funding as well as in advisory capacity for our partners.  Our motto finds a place in the government's larger dream of ""Housing for All""​.

Our Philosophy
We believe in promoting 'entrepreneurship'​ even amongst our employees. If you have a dream to scale up yourself, then this is the right place. We provide a culture where talent thrives, and is allowed to flow from one domain to the other. That's how we proudly share the success stories of our people. Our leaders have grown from the ranks. 

Our employee centricity rests on three strong levers of our Employee Value Proposition, COE - i.e Capability - Opportunity - Equity. You have the right attitude, and we train you for skills.  You build your capability, and we provide you with the rightly timed opportunity.  You deliver to the call of opportunity and you seek rewards as well as recognition. You give your best and the best comes to you. 
 
If you are a risk taker, pursue excellence in your work and enjoy competition, destination RHF is just aptly meant for you. Discover your true self.  Explore your potential. Reach out to us.  Be a part of Reliance. 

Follow us on LinkedIn to know more:
https://www.linkedin.com/company/reliance-home-finance 
https://www.linkedin.com/company/reliance-commercial-finance",http://www.reliancehomefinance.com/,Financial Services,"501-1,000 employees 532 on LinkedIn
            
 



    Includes members with current employer listed as Reliance Home Finance Ltd., including part-time roles.","Mumbai, Maharashtra",2008,,"02247416400
            

              Phone number is 02247416400"
"Axis Securities Limited (ASL) is a subsidiary company of Axis Bank Ltd. engaging in distribution of wide range of financial solutions and broking services to retail customers. Customers can avail wide range of lending solutions. 

Apart from lending solutions, Axis Direct a brand under which Axis Securities Limited, offers retail broking and investment services.  Axis Direct account brings all investment options together under one roof, giving you the power to diversify your portfolio Axis Direct with 1.7 million+ customers has been awarded ""Best Growing Equity Broking House""award. 

ASL aims to become a key partner for marketing of Axis Bank’s products and a leading player in the retail broking space by excelling in customer experience, innovation, productivity and process efficiency.""​

Awards & Recognition:

2013
- D&B Equity Broking Awards 2013 - Fastest Growing Equity Broking House (Mid - size firms)

2014
- D&B Equity Broking Awards 2014 - Best Growing Equity Broking House (Retail)

2015
- D&B Equity Broking Awards 2015 - Best Growing Equity Broking House (Retail)
- DMA Asia ECHO Awards (Bronze) 2015- Effectiveness in Financial Products and Services

2016
- Zee Business Market Excellence Award 2016 - Best Equity Research - Technical
- DMA India Awards (Gold) 2016– Marketing Innovation Award
- DMA International ECHO Awards (Gold) 2016 - Best Use of Email Marketing
- DMA Asia ECHO Awards (Gold) 2016 - Effectiveness in Financial Products and Services

2017
- BSE Commodity Equity Outlook Award 2017 - Top Equity Broker of the Year
- AxisDirect's website awarded the DMA India Award 2017 in the Best Web/E-Commerce Category
- AxisDirect Website Bags 'The India's Best Design Project Awards 2017'​ for Its #SimpleHai Approach to Investing

2018
- IAMAI 8th India Digital Awards(Bronze) 2018 - ""Best Email Marketing Campaign""​
- 7th ACEF Global Customer Engagement Awards(Silver) 2018 - ""Use of Innovation in Email Marketing""​
- BSE Commodity Equity Outlook Award 2018 - Top Equity Broker of the Year",https://simplehai.axisdirect.in/,Financial Services,"10,001+ employees 4,601 on LinkedIn
            
 



    Includes members with current employer listed as Axis Securities Limited, including part-time roles.","Mumbai, Maharashtra",2005,"Loans, Retail Broking, Credit Cards, and Investments",
"Värde Partners is a leading global alternative investment adviser with roots in credit and distressed. At a fundamental level, Värde focuses on unlocking value – Värde means value in Swedish. The firm seeks opportunities in less efficient markets and pursues assets at a discount to their intrinsic or potential value, all with the focus of creating value for its investors and empowering the common good they seek. Investments span corporate and sovereign credit, restructurings, real estate, mortgages, private equity, and direct lending. The firm has invested more than $90 billion since its founding in 1993, and has offices in Minneapolis, New York, London, Singapore and other cities in Asia and Europe. Värde manages over $13 billion in assets on behalf of its investors around the world.",http://www.varde.com,Financial Services,"201-500 employees 252 on LinkedIn
            
 



    Includes members with current employer listed as Värde Partners, including part-time roles.","Minneapolis, Minnesota",1993,"Alternative Investing, Credit, Real Estate, Private Equity, and Private Debt",
"axio, formerly Capital Float, is India's leading consumer finance company offering pay later, credit and personal finance management under one seamless brand experience. On a mission to make credit worthy for all, axio leverages technology to deliver innovative financial products to millions of individuals across the country, including vast sections of traditionally under-served consumers. 

axio is the brand name of CapFloat Financial Services Private Limited, a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India. The company has raised funding from marquee investors such as Elevation Capital (formerly SAIF Partners), Sequoia India, Lightrock, Creation Investments Capital Management LLC, Ribbit Capital, and Amazon.",https://axio.co.in/,Financial Services,"501-1,000 employees 101 on LinkedIn
            
 



    Includes members with current employer listed as axio, including part-time roles.","Bangalore, Karnataka",2013,,
"As one of the world’s leading exchange organizations Deutsche Börse Group provides investors, financial institutions and companies access to global capital markets. Our business covers the entire process chain from securities and derivatives trading, clearing, settlement and custody, through to market data and the development and operation of electronic trading systems.

Our reliable systems and our integrity as a neutral provider form the basis of our business philosophy. We operate to the most exacting standards to create products and services to meet the needs of international financial markets. As a listed company we work to create value for our customers and our shareholders.

Privacy policy: https://deutsche-boerse.com/social-media-privacy/",http://www.deutsche-boerse.com,Financial Services,"5,001-10,000 employees 3,441 on LinkedIn
            
 



    Includes members with current employer listed as Deutsche Börse, including part-time roles. Also includes employees from subsidiaries: Eurex and Qontigo.",,,"trading, clearing, settlement, custody, trading technology, and market data",
"Accuracy is a wholly independent international consulting firm providing advice to company management and shareholders for their strategic or critical decisions, notably in transactions, disputes and crises.

Accuracy’s strength is to connect strategy, facts and figures. Our teams are international and multicultural, combining various skills to provide bespoke services to our clients. We recruit our consultants from the best. 

Accuracy is present in 13 countries in Europe, North America, Asia, Middle East and Africa and leads engagements all over the world.",https://www.accuracy.com,Financial Services,"501-1,000 employees 617 on LinkedIn
            
 



    Includes members with current employer listed as Accuracy, including part-time roles.","Paris, Île-de-France",2004,"Transaction Support & Advisory, Corporate Recovery Services, Forensics, Litigation & Arbitration, Economics & Business Analysis, Valuation & Fairness Opinion, Blockchain, and Advanced Analytics",
"Kinara Capital is a socially responsible fintech driving last-mile financial inclusion of small business entrepreneurs in India by providing fast & flexible collateral-free business loans. Led by a majority women leadership, Kinara is globally recognized by IFC/World Bank as 'Bank of the Year-Asia', ranked among 'Top High-Growth Companies Asia-Pacific' by the Financial Times, named as 'India's Growth Champions' by the Economic Times.",https://kinaracapital.com/,Financial Services,"1,001-5,000 employees 637 on LinkedIn
            
 



    Includes members with current employer listed as Kinara Capital, including part-time roles.","Bengaluru, Karnataka",2011,"smallbusiness, india, MSMEs, socialimpact, financialinclusion, financialservice, fintech, finserv, smallbusinesslending, MSMElending, lender, smallbusinesslender, indiagdp, manufacturing, makeinindia, indiamanufacturing, NBFC, nonbankingfinancialcompany, microsmallmediumenterprises, digitallending, digital, smallbusinesses, entrepreneur, socialenterprise, and socialentrepreneur","18001032683
            

              Phone number is 18001032683"
"Customers turn to CSI for superior service from industry experts. We are the resource, not only for financial solutions, but for help with asset management, end of life data security, disposal and more – all on a global scale. With operations across the Americas, Europe and Asia-Pacific, we are one of the largest equipment leasing companies in the world. 

CSI has been investing in our customers'​ technology solutions for nearly five decades.",http://www.csileasing.com,Financial Services,"1,001-5,000 employees 714 on LinkedIn
            
 



    Includes members with current employer listed as CSI Leasing, Inc., including part-time roles. Also includes employees from subsidiaries: CSI EPC,CSI Leasing Europe ,Freedom Tech and 5 more.","St. Louis, MO",,"Technology Equipment Leasing, Healthcare Equipment Leasing, Media and Entertainment Equipment Leasing, Government and Education Equipment Leasing, and Equipment Disposal",
"i-exceed technology solutions is a FinTech company that powers the digital transformation of the world’s leading banks and financial institutions. Appzillon, the flagship offering from i-exceed, consists of Appzillon Digital Banking and Appzillon Digital Experience Platform. Appzillon Digital Banking is a suite of pre-built omni-channel solutions (with over 17 MM end customer downloads across the globe) that provides differentiated banking experiences for banks’ customers and staff. The Appzillon Digital Experience Platform is a low-code visual development environment that enables enterprises to realize their digital initiatives offering a best-in-class customer experience.

i-exceed works with more than 80 banks and FIs around the world including India Post Payments Bank, Canara Bank, Mashreq Bank, several tier 1 banks, regional banks, Fintechs and micro finance institutions to power rapid digital transformation. Our consumer and corporate onboarding solutions have revolutionized the onboarding experience and reduced overall end-to-end onboarding times by more than 50%. Our consumer banking, corporate banking, and sales enablement solutions helps banks streamline their user journeys, optimize process flows, and improve operational efficiencies. Appzillon’s open, scalable and micro-app based architecture enables banks to innovate and offer newer products and services faster. Learn more at www.i-exceed.com.",https://www.i-exceed.com,Financial Services,"201-500 employees 540 on LinkedIn
            
 



    Includes members with current employer listed as i-exceed , including part-time roles.","Princeton, New Jersey",2011,"Digital banking solution provider, MADP, Mobile banking solution provider , internet banking solution provider , Digital platform, Fintech , UX Design, Microapp, and low code development platform",
"Baring Private Equity Asia (BPEA) is one of Asia's largest private alternative investment firms, with $21 billion of FPAUM. BPEA manages a private equity investment program, sponsoring buyouts and providing growth capital to companies for expansion or acquisitions with a particular focus on the Asia Pacific region, as well as dedicated funds focused on private real estate and private credit. The firm has a 25-year history and over 220 employees located across 10 offices in Beijing, Delhi, Hong Kong, London, Los Angeles, Mumbai, Singapore, Shanghai, Sydney, and Tokyo. 
 
BPEA is a responsible investor that seeks to create value for all stakeholders through a sustainable approach to investing. The firm is a signatory to the UNPRI (United Nations Principles for Responsible Investment) and is committed to action within its own business and the companies in which it invests to drive sustainability across a range of issues, from climate change to social concerns to effective governance.",https://eqtgroup.com/private-capital/bpea-eqt,Investment Management,"201-500 employees 239 on LinkedIn
            
 



    Includes members with current employer listed as BPEA EQT, including part-time roles.",,1997,"Growth Equity, Leveraged Buyout, Public to Private, Education, and Business Services",
"From London to Singapore and from San Francisco to São Paulo, we help businesses enter new markets, explore new industries, and reach new milestones. We are driven by a deep-seated determination to be the best possible partner for our customers – giving you the support you need to capitalize on a world that’s changing at breakneck speed.

Our mission is to provide innovators with a convenient and simple financial interface that enables payments to flow freely and invisibly across borders. We offer a wide range of services, including payment gateway, card acquiring, business accounts, card issuing, alternative payment methods, and more.

That’s the reason why we are called Unlimint: we provide unlimited growth opportunities for our customers, freeing them from the payment constraints.

All with a single purpose: making sure you are ready for tomorrow.",http://unlimint.com/,Financial Services,"201-500 employees 279 on LinkedIn
            
 



    Includes members with current employer listed as Unlimint, including part-time roles.","London, UK",2009,"Financial services, Payment systems, Payment technologies, Payment cards, Wire transfers, Corporate solutions, Acquiring, Corporate accounts, B2B cards, Digital payments, Alternative payments, Fintech, Ecommerce, Business account, and Payments processing",
"Poonawalla Housing Finance (formerly formerly known as Magma Housing Finance) brings its legacy of Trust, Integrity, Transparency and Excellence in their financial offerings. With this commitment we aim to empower low-income sections to achieve the dream of owning a home. Understanding the needs of our customers, we provide a wide range of affordable housing solutions. 
Today, combining our digital capabilities and enhanced strength, we are dedicated to serve our valued customers with best offerings and services through our 100+ branches in 19 states.",https://poonawallahousing.com,Financial Services,"1,001-5,000 employees 605 on LinkedIn
            
 



    Includes members with current employer listed as Poonawalla Housing Finance, including part-time roles.","Pune, Maharashtra",2004,,"1800-266-3204
            

              Phone number is 1800-266-3204"
"Established in 2002 and incorporated in 2005, XL Dynamics India Pvt. Ltd. is privately held corporation providing IT, audit and quality control outsourcing solutions to a defined clientele in the US mortgage industry.

We have proven expertise to provide comprehensive solutions to a defined clientele in the US mortgage industry, including but not limited to:

• IT solutions
• Expert analysis and risk assessment audit of complex financial products
• Inspection of executed financial trades
• Documentation of policies, processes and guidelines
• Quality control services, Operations and Servicing quality control
• Trading and hedging strategy and support
• Regulatory compliance and audit services
• Securitization of loan instruments study",http://www.xldynamics.com,Financial Services,"1,001-5,000 employees 2,325 on LinkedIn
            
 



    Includes members with current employer listed as XL Dynamics India Pvt. Ltd., including part-time roles.","Navi Mumbai, Maharashtra",2005,,
"Mahindra Rural Housing Finance Limited (MRHFL), a subsidiary of Mahindra and Mahindra Financial Services Limited (MMFSL), has been established to provide Home Loans primarily in rural areas. MMFSL has been operating in Rural India for over 25 years by concentrating on financing farm equipment and vehicles for the under-banked customers. MRHFL identified a market for Home Loans designed specifically for the under served, fulfilling its mission of ""Transforming Lives""​. Since inception in April 2007, MRHFL has opened operations in 15 states namely: Maharashtra, Gujarat, Rajasthan, Madhya Pradesh, Tamil Nadu, Andhra Pradesh, Telangana, Uttar Pradesh, Uttarakhand, Odisha, Puducherry, Chattisgarh, Karnataka, Kerala and Bihar.",http://www.mahindrahomefinance.com/,Financial Services,"5,001-10,000 employees 2,297 on LinkedIn
            
 



    Includes members with current employer listed as Mahindra Home Finance, including part-time roles.","Mumbai, Maharashtra",2007,"Rural Finance, Housing Finance, Home Finance, and Rural Development","18002335333
            

              Phone number is 18002335333"
"BSE is Asia's First Exchange and World's Fastest Exchange with the Speed of 6 Microseconds.
Bombay Stock Exchange Limited is the oldest stock exchange in Asia, established in 1875. It is the first stock exchange in the country to obtain permanent recognition in 1956 from the Government of India under the Securities Contracts (Regulation) Act, 1956. It is widely recognized by its index, SENSEX.
The Exchange is professionally managed under the overall direction of the Board of Directors. The Exchange has a nation-wide reach with a presence in 417 cities and towns of India.",http://www.bseindia.com,Capital Markets,"201-500 employees 755 on LinkedIn
            
 



    Includes members with current employer listed as BSEIndia, including part-time roles.","Mumbai, Maharashtra",1875,,
"Statestreet HCL Services (India) Private Limited is a subsidiary of a Foreign Company, incorporated in 2012. It's a private unlisted company and is classified as a company limited by shares.  It has been majorly in the Business Services business for the last 10 years. The Company is registered in Delhi (Delhi) Registrar Office. Statestreet HCL Services (India) Private Limited registered address is 806, SIDDHARTH 96, NEHRU PLACE New Delhi South Delhi DL 110019 IN.",,Financial Services,"5,001-10,000 employees 4,566 on LinkedIn
            
 



    Includes members with current employer listed as State Street HCL Services Pvt Ltd, including part-time roles.","Delhi, Delhi",2012,,
"Caisse de dépôt et placement du Québec (CDPQ) is one of North America’s leading long-term institutional investors, with net assets totalling CA$365.5 billion and investments in more than 75 countries. We manage funds primarily for public and parapublic pension and insurance plans. With the highest credit ratings from DBRS, Moody’s and Standard & Poor’s, CDPQ invests in major financial markets, private equity, infrastructure and real estate, globally, in all sectors of the economy.",http://www.cdpq.com/,Investment Management,"1,001-5,000 employees 1,748 on LinkedIn
            
 



    Includes members with current employer listed as Caisse de dépôt et placement du Québec (CDPQ), including part-time roles.","Montréal, Québec",1965,,
"RapiPay is the fastest-growing assisted payment services company in the Indian fintech Industry and is a PPI Licensed holder from RBI. RapiPay operates through its Direct Business Outlets (DBOs) serving millions of Indian consumers with financial inclusion services like AEPS, Micro ATM, Domestic Money Transfer, Utility Bill Payments, Insurance etc.     

RapiPay is a subsidiary of Capital India Finance Limited (CIFL) which is a public listed company and is a leading name in NBFC.

RapiPay drives financial inclusion across the country with the help of a PAN-India network of 6 lakh+ DBOs delivering over 3 crore transactions monthly. We are proud to have served more than 10 crore unique customers so far.",https://in.rapipay.com,Financial Services,"1,001-5,000 employees 883 on LinkedIn
            
 



    Includes members with current employer listed as Rapipay Fintech Private Limited, including part-time roles.",,2018,"AEPS, Micro ATM, Payments, Fintech, Financial Inclusion, POS, Lending, Remittance, and Digital Banking","0120-6366034
            

              Phone number is 0120-6366034"
"Bharat Financial Inclusion Limited is a 100% subsidiary of IndusInd Bank Limited with presence across 21 states covering 1,20,000 villages",https://www.bfil.co.in,Financial Services,"10,001+ employees 5,220 on LinkedIn
            
 



    Includes members with current employer listed as Bharat Financial Inclusion Limited (100% subsidiary of IndusInd Bank Ltd.), including part-time roles.","Hyderabad, Telangana",1998,"Microfinance, Last Mile Connectivity, and Strong Rural Network",
The formation of Unit Trust of India marked the evolution of the Indian mutual fund industry in the year 1963. The primary objective at that time was to attract the small investors and it was made possible through the collective efforts of the Government of India and the Reserve Bank of India,http://utimf.com,Financial Services,"501-1,000 employees 1,364 on LinkedIn
            
 



    Includes members with current employer listed as UTI Mutual Fund, including part-time roles.","Mumbai, Maharashtra",,Mutual Funds,
"HDFC Mutual Fund is a Mutual Fund, which has been constituted as a trust in accordance with the provisions of the Indian Trusts Act, 1882 and is registered with SEBI. HDFC Mutual Fund offers various schemes like Equity funds, Debt funds, Liquid funds, Exchange Traded funds etc to retail and institutional investors.",https://www.hdfcfund.com,Financial Services,"1,001-5,000 employees 466 on LinkedIn
            
 



    Includes members with current employer listed as HDFC Mutual Fund, including part-time roles.","Mumbai, Maharashtra",,,
"Established In 1990, SMC is a well-diversified financial services company in India offering services across brokerage (across the asset classes of equities (cash and derivatives), commodities and currency), investment banking, wealth management, distribution of third party financial products, research, NBFC financing, depository services, insurance broking, clearing services, mortgage advisory, alternate investment fund (AIF) and real estate advisory services to corporate, institutional, high net worth individuals and other retail clients.",http://www.smcindiaonline.com,Financial Services,"1,001-5,000 employees 1,659 on LinkedIn
            
 



    Includes members with current employer listed as SMC Group, including part-time roles.","New Delhi, Delhi",1994,"Equity, Commodity & Currency trading, IPO & MF Distribution, Depository, Clearing Services, Research, Insurance Broking - Life & Non-Life, Wealth Advisory, Institutional Broking, Investment Banking, Real Estate Advisory, Mortgage Advisory, NBFC Financing, and AIF",
"Sharekhan by BNP Paribas is one of India’s largest retail broking houses. It is a subsidiary of BNP Paribas, one of the largest banking groups in the world with a net income of 7.5 Bn EUR in 2018. BNP Paribas has over 160 years of presence in India and is active in 75 countries.

Sharekhan has over 4000 employees and is present in 584 cities through 153 branches, more than 3040 business partners. The company has 19 lakh clients and on an average, executes more than 6 lakh trades per day. It was acquired by BNP Paribas in Nov’16.

Sharekhan offers a wide range of trading and investment solutions that includes equities, futures and options, commodities, currency, portfolio management services, research, mutual fund distribution and investor education.

Sharekhan has developed its leadership in full-service retail brokerage and financial services by focusing on end to end customer experience. To foster its growth, Sharekhan is reinforcing its development through its digital channels that are inherently customer-first in nature.",http://www.sharekhan.com,Financial Services,"1,001-5,000 employees 6,306 on LinkedIn
            
 



    Includes members with current employer listed as Sharekhan, including part-time roles.","Mumbai, Maharashtra",2000,,"022-25753200
            

              Phone number is 022-25753200"
"We are a housing finance company working to enable millions of Indians to fulfill their dreams of owning a bigger, better and a new home.

Our business is built on a strong foundation of people and technology who use data science and analytics to deliver world-class and affordable products and franchise for our customers. The core engine driving this balanced approach to our business is the risk management led framework at its heart.

As on July 2021, we have financially included over 22000 customers having a monthly income of USD 600, most of whom who don’t have formal access to credit from financial institutions in India due to lack of documented income.

Our award-winning proprietary technology platform PULSE, has been the game changer in helping our customers to estimate and demonstrate their undocumented income to avail credit solutions from us. PULSE has enabled a completely paperless digital experience for our customers which has helped in faster turnarounds to service them better.

We are a young team of over 1000 professionals serving 200+ locations in 13 states of India. More on us is available at www.vastuhfc.com",,Financial Services,"1,001-5,000 employees 888 on LinkedIn
            
 



    Includes members with current employer listed as Vastu Housing Finance Corporation Ltd., including part-time roles.","Mumbai, Maharashtra",2015,"Homeloan, Improvement Loan, Construction Loan, Loan Against Property, Plot Loan, and Commercial Property Loan","1800 22 0001
            

              Phone number is 1800 22 0001"
