Overview,Website,Phone,Industry,Company size,Headquarters,Founded,Specialties
"KrazyBee is India's Largest Student Credit Platform, where college students can purchase anything online, and pay back later via flexible monthly payments. KrazyBee has multiple offerings ranging from financial aid for e-commerce purchases (with partnerships with all leading e-commerce platforms like Amazon, Flipkart, Paytm, Myntra etc.) to two-wheeler loans (both first-hand & second-hand), semester loans (college tuition fees) and even cash loans (Paytm recharge & top-ups on KrazyBee Student PayCard - India's First Student Credit Card). Within its first 2 years of operations, KrazyBee has expanded to 37 cities in India; and with a registered user base of over 7.5 Lakh users. KrazyBee is a brand of Finnovation Tech Solutions Pvt Ltd, which is a Series-A funded company with investment over 50 Million USD from various investors.

Website - www.krazybee.com
App - krazy.be/kbandroid",http://www.krazybee.com,,Financial Services,"501-1,000 employees 176 on LinkedIn
            
 



    Includes members with current employer listed as KrazyBee, including part-time roles.","Bangalore, Karnataka",2016,Finance Technology
"Go Green Warehouses Private Limited, established in 2012 as an integrated commodity management Solution provider. We works across the Agri value chain, providing a range of post-harvest services to our stakeholder, led by a team of competent professionals. The company's strategically planned and technologically connected locations, experienced staff, innovative practices and commitment to stakeholders enables us to handle business with quality service at competitive prices

 

We have been associated through professional network since a very long time but this is a time I am writing this because we have created a Company called – “ Go Green Group “ in Ahmadabad into Agri Value Chain Management . The company is promoted by three of us having head quarter in Ahmadabad . 

 

Our Focus is to provide solutions to the Agri Value chain partners in different ways as following and the revenue sourcing is through  

Agri Warehousing & Preservation Solution for those who want secured & efficient warehousing with Zero Wastage
Logistics, Premium Leasing & 3PL for all the Industries
Pest Management Services  - Integrated Pest Management 
Quality Analyses & Assaying service – in all three operating states - Currently we are operating through partner NABL approved labs
Collateral Management & Audit and Inspection services 
Financial Facilitation – Through Banks, NBFCs, Repositories, Big Financiers through both Pledge financing mode as well as Trade Facilitation Mode
Commodity Supply to Institutions and Organisations – Dry commodities as well as Perishable Commodities
Help as Lead Providers to Agribusiness Companies to help through leads for their business – Agri-Input, Banks, NBFCs, Exporters, Exchanges etc
Supply of Fresh Fruits & Vegetables to businesses",http://www.gogreenwarehouses.com,"9879443405
            

              Phone number is 9879443405",Financial Services,"501-1,000 employees 100 on LinkedIn
            
 



    Includes members with current employer listed as Go Green Warehouses Pvt Limited , including part-time roles.","Ahmedabad, Gujarat",2012,"warehousing, Collateral Managment, Trade Facilitation, Quality testing and analysis, Private lebelling, agri processing, transportation, rack handling, Fumigation, pest management, Preservation, commodities, agri loans, pledge financing, wdra, Enwr, Wheat, cotton, cumin seed, mustard, cotton bales, coriander, and barley"
"Altum Credo Home Finance Pvt Ltd

Altum Credo Home Finance Private Limited is Home Finance Company registered with National Housing Bank. Altum Credo`s primary objective is to address home finance needs of customers segment belonging to Low and Medium Income Groups.Our Business focus is to reach across to the largely untapped potential of Unserved and Under-served Segments where the Urban Housing Shortage exists. We aim at unwavering commitment towards providing financial accessibility for First Home buyers in this category of the Semi-Urban and Rural Areas of India.",http://www.altumcredo.com,,Financial Services,"201-500 employees 199 on LinkedIn
            
 



    Includes members with current employer listed as Altum Credo Home Finance Private Limited, including part-time roles.","Pune, Maharashtra",2016,
"IIFL Samasta Finance Limited (Formerly Samasta Microfinance Limited), is a financial institution committed to working towards women’s economic empowerment. Since its inception in March 2008, IIFL Samasta has been providing innovative and affordable financial products to women from unbanked sections in society in both rural and semi-urban areas. Today the organisation caters to 17 states across India. IIFL Samasta, with its wide array of responsible financial products and services acts as a catalyst for sustainable and inclusive economic growth.

Our portfolio includes a variety of products that enable customers to engage in different income generation activities. We also provide loans for dairy cattle, micro, small enterprises, education, consumer products and top up loans.

We are leveraging innovative technology solutions to enable customers to enjoy the benefits of digitization and we aim to create economic opportunities for all and to improve the standard of living in the communities we serve.",http://www.iiflsamasta.com,,Financial Services,"5,001-10,000 employees 2,192 on LinkedIn
            
 



    Includes members with current employer listed as IIFL Samasta Finance Limited, including part-time roles. Also includes employees from subsidiary: Samasta Microfinance Limited.","Bangalore, Karnataka",2008,
"We bring more than 20 years of experience in building wealth creation and investment opportunities to individual and institutional investors. Driven by strong research team and excellent advisory services, Karvy Stock Broking Limited (KSBL) will help build your investment profile in order to meet your financial goals, factoring in your risk appetite.
Our services include share trading, currency trading, demat services and investment in various financial products at competitive brokerage charges in each segment.
We provide one of the easiest and most user-friendly online trading platform in the industry, www.karvyonline.com, providing the benefits of trading in equities, derivatives and currencies. It also facilitates investments in bonds, NCDs, exchange traded funds (ETF) and mutual funds. We have an exclusive ‘Ask-the-Expert’ service for our investors to resolve their trade related queries in a jiffy. For traders on the go, Karvy Online trade mobile app gives live market updates, research reports based on technical and fundamental analysis and allows you to trade and track your profile.
So get, set and go..Online account opening – Express account on www.karvyonline.com     
KARVY Stock Broking Limited is a member of: 
1) National Stock Exchange (NSE) , 
2) Bombay Stock Exchange (BSE), 
3) MSEI",http://www.karvyonline.com,,Financial Services,"1,001-5,000 employees 2,455 on LinkedIn
            
 



    Includes members with current employer listed as Karvy Stock Broking, including part-time roles.","Hyderabad, Telangana",1990,"Award winning Broking house, Pan India presence, World class Research team, and Service available 24*7"
"ITI Mutual Fund is promoted by ITI Group which has 180 offices, 3000 employees and present across India in all major cities. 

Investment Trust of India Ltd (ITI) was the promoter of the first private sector Mutual Fund launched in Indian history by the name, Pioneer ITI Mutual Fund, which later on was taken over by Franklin Templeton Mutual Fund in the year 2002. Investment Trust of India is the promoter of ITI Mutual Fund.

Mr.Sudhir Valia is the mentor and one of the shareholders of ITI Group. He is a member of Institute of Chartered Accountants of India,  and carries more than three decades of experience in taxation and finance. He has been a director of Sun Pharma since the inception of the company and he was also instrumental in the excellent growth and profitability of the company over the last two decades. 

Acting CEO - Mr. Hitesh Thakkar has over 22 years of experience predominantly in the Asset Management & Banking within financial service category. Mr. Thakkar joined ITI Asset Management Limited in March 2019 as Head - Operations and Customer Service and was the Chief Operating Officer, managing Operations, Finance and Customer Service.
Past Experience: Prior to joining ITI Asset Management Limited, he was associated with ERDA (Electrical Research & Development Association) as Assistant Director & Head Corporate. He has been also associated with Nippon India Life Asset Management Ltd., IDBI Bank and HDFC Bank.

Chief Business Officer (CBO ) - Mr. Gaurav Goyal joined as the Chief Business Officer on April 2nd, 2022. Before joining the ITI Asset Management family, Mr. Goyal was the National Head- Sales & Distribution for Principal Mutual Fund. A known collaborative people’s leader, Mr. Goyal will spearhead the Sales & Distribution, Business Development, Product and Marketing functions of the organization. He has more than 22 years of differentiated experience in Financial Services across Banking, Life Insurance, Capital Markets & Mutual Funds.",https://www.itiamc.com/,"1800 266 9603
            

              Phone number is 1800 266 9603",Investment Management,"201-500 employees 137 on LinkedIn
            
 



    Includes members with current employer listed as ITI Mutual Fund, including part-time roles.","Worli, Mumbai, Maharashtra",2016,
"Piramal Enterprises Limited (PEL) is one of India’s largest diversified companies, with a presence in Financial Services,
Pharmaceuticals and Healthcare Insights & Analytics. PEL’s consolidated revenues were ~US$1.9 billion in FY2019, with around
~40% of revenues generated from outside India.",https://piramal.com,,Financial Services,"1,001-5,000 employees 242 on LinkedIn
            
 



    Includes members with current employer listed as Piramal Enterprises Limited, including part-time roles.",,1980,
"Light Microfinance is a leading microfinance company in India, with its headquarters in Ahmedabad, Gujarat. The company provides financial products and services through gender and poverty-focused programs targeting poor women in rural and peri-urban areas. It operates in Gujarat, Rajasthan, Haryana and Madhya Pradesh through its network of 125 branches and has catered to the needs of over 3 lakh women borrowers.",http://www.lightmicrofinance.com,"+91-79-40380059
            

              Phone number is +91-79-40380059",Financial Services,"1,001-5,000 employees 594 on LinkedIn
            
 



    Includes members with current employer listed as Light Microfinance Pvt. Ltd., including part-time roles.","Ahmedabad, Gujarat",2009,
"L&T Mutual Fund is one of the prominent Asset Management Company (AMC) in India. With close to Rs. 65,796.80 crore AUM (Assets Under Management) as of September 30, 2019, our aim is to become the best value provider of investment solutions across all asset classes.

L&T Investment Management (the AMC) is a part of L&T Financial Holdings Limited, which was incorporated on April 25, 1996, with the strategic intent of holding all the investments of the L&T Group in the financial services businesses. Our commitment to catering to different customer & strong focus on creating value has resulted in a basket of 26 funds that spans across different asset classes, risk profiles and time horizons.

We believe the key to building wealth is a solid foundation and so, when you invest with L&T Mutual Fund, you invest in happiness for the long term. 
Over 26,00,000 customer accounts across 375 cities and towns | 55 Branches | Investment management expertise | Proven track record | Customer-centric approach.  

Mutual Fund investments are subject to market risks, read all scheme related documents carefully.",http://www.lntmf.com,,Financial Services,"201-500 employees 342 on LinkedIn
            
 



    Includes members with current employer listed as L&T Mutual Fund, including part-time roles.","Mumbai, Maharashtra",,"Mutual Funds, Indian Mutual Fund Company, Investments, and Funds"
"Motilal Oswal Home Finance Ltd. (MOHF) is a professionally managed company focusing on affordable housing segment, to fulfill the aspirations of lower and middle income (LMI) families. MOHF works on the business philosophy of financial inclusion of LMI families by providing them an access to long term housing finance. MOHF focuses exclusively on retail housing loans. MOHF has centralized set up with decision making at the Head office. Further, strong risk assessment practices at every stage of loan processing ensures build up of quality loan book. Our parent company Motilal Oswal Financial Services Ltd (MOFSL) - a well diversified, financial services company focused on wealth creation through knowledge. MOHF is managed by a team of professionals having strong experience in Indian housing finance market and headed by Mr. Sanjay Athalye, a veteran of over 2 decades in the Mortgage Finance business
Our Vision: 
To enable home ownership among lower and middle income Indian families by providing hassle free housing loan assistance towards acquiring affordable housing units thereby enhancing housing stock in India",http://www.motilaloswalhf.com,"+912247189999
            

              Phone number is +912247189999",Financial Services,"1,001-5,000 employees 950 on LinkedIn
            
 



    Includes members with current employer listed as Aspire Home Finance Corporation Limited (AHFCL), including part-time roles.","Mumbai, Maharashtra",2013,"Home Purchase Loans, Home Construction Loans, Home Extension Loans, Home Improvement Loans, Refinance, Pradhan Mantri Awas Yojna, PMAY, and CLSS"
"About PAG 
PAG is a leading alternative investment firm focused on APAC with three core strategies: Credit & Markets, Private Equity, and Real Assets. We manage capital on behalf of nearly 300 institutional fund investors, including some of the most sophisticated global asset allocators. As of 31 December 2021, PAG had 293 investment professionals in 12 key offices globally. As of 15 March 2022, PAG managed approximately US$50 billion in assets.

Firm History
PAG is a leading diversified alternative investment firm with three major businesses: Credit & Markets (CM), Real Assets (RA), and Private Equity (PE). The history of PAG dates back more than two decades. PAG RA originated from Secured Capital founded by JP Toppino in 1997. CM grew out of Pacific Alliance Group, founded by Chris Gradel in 2002. Weijian Shan founded PAG's PE business in 2010. In the same year, Messrs. Gradel, Shan and Toppino brought their respective successful strategies under the PAG brand, and each of the three founders continues to manage each of the three businesses.",http://www.pag.com,,Investment Management,"501-1,000 employees 298 on LinkedIn
            
 



    Includes members with current employer listed as PAG, including part-time roles.",,,
"Geojit Financial Services is one of the leading investment services companies in India, with a strong presence in the Gulf Corporation Council (GCC) countries. It has around 10,70,000 clients, a network of 463 offices, and has Assets Under Custody and Management worth over Rs. 41,000 crore as on 30 September 2020. BNP Paribas, C J George - Founder and Managing Director of Geojit, Kerala State Industrial Development Corporation (KSIDC), and Rakesh Jhunjhunwala are the notable shareholders of the company.
Geojit Financial Services has a broad presence in the GCC countries via joint ventures and partnerships: Barjeel Geojit Financial Services LLC in UAE, BBK Geojit Securities KSC in Kuwait, and QBG Geojit Securities LLC in Oman. The company is prominent in Bahrain through a business partnership with the Bank of Bahrain and Kuwait.

Disclaimer: Investment in securities market are subject to market risks, read all the related documents carefully before investing.

Geojit Financial Services Ltd. Registered Office: 34/659-P, Civil Line Road, Padivattom, Kochi-682024, Kerala, India. Phone: +91 484-2901000. Corporate Identity Number: L67120KL1994PLC008403.
 
SEBI Regn Nos. Research Entity INH200000345, Investment Adviser INA200002817, Portfolio Manager INP000003203, Stock Broker INZ000104737, Depository Participant IN-DP-325-2017.
 
Member : NSE TM ID 13372, BSE TM ID 328, MCX TM ID 55920, NCDEX : TMID 1243 & ICEX : TMID 3007.",http://www.geojit.com,,Financial Services,"5,001-10,000 employees 1,433 on LinkedIn
            
 



    Includes members with current employer listed as Geojit Financial, including part-time roles.","Padivattom, Kerala",1987,"Mutual Funds, Stock Broking, Investment Management, Portfolio Management, Currency Futures, Equities, Derivatives, Margin Trading, General Insurance, Life Insurance, Financial Planning, Wealth Management, and Advisory Services"
"FundsIndia is one of India's largest investment/mutual fund platforms with nearly Rs. 9,500 crores invested with us by 22 lakh+ loyal investors. We’ve cemented our position as the fastest-growing platform and received several awards. We believe everyone should have access to India's financial system and deserves sophisticated investment advice. 

Our rapid growth is spurred by a team of go-getters with terrific experience at large internet and finance companies (eBay, Oracle, Facebook, Aricent, Zynga, Adobe, Symantec, IBM, Snapdeal, Morgan Stanley, Citibank, Fannie Mae), and entrepreneurial/startup experience (Efficient Frontier, HolidayIQ, Microstrategy, Talisma, Foliofn, ExpertPlan, Synup). 

We're on a mission to inspire this new generation of investors and are building an internet company focused on re-architecting the investment industry. Come join us on this fantastic journey.",https://www.fundsindia.com,,Investment Management,"201-500 employees 250 on LinkedIn
            
 



    Includes members with current employer listed as FundsIndia, including part-time roles.","Chennai, Tamil Nadu",2008,"Mutual Funds, Equities, Corporate Fixed Deposits, Systematic Investment Plans (SIPs), Liquid Mutual Funds, Gold Mutual Funds, Money Mitr - Integrated Robo-advisory, ELSS (Tax-saving Funds), Instant investing with Aadhaar-based eKYC, and Advisory"
Make A Smart Move,https://www.reliancesmartmoney.com/,,Financial Services,"501-1,000 employees 104 on LinkedIn
            
 



    Includes members with current employer listed as reliancesmartmoney.com, including part-time roles.","Mumbai-400058, Maharashtra",,
"‌In a world of where procuring funds takes ages along with a ton of paperwork, we at LiquiLoans strive to streamline and pace up the entire process for a hassle free financing solution. 

We are building a platform where borrowers and lenders can interact and mutually agree for financial transactions. Using technology we intend to build a marketplace which not only speeds up the process but also makes it cheaper.

With 0% EMI products and competitive subvention rates we make sure the amount is disbursed within 24 hours of its approval. LiquiLoans has flexible interest rates which enables our consumers, be it patients or students to get the required urgent medical treatment or admission into their dream universities. Working with our partners, our mission is to provide loans at 0% interest to consumers.

Personal Loans: Sudden personal expenses causing creases on your forehead?
Take a breath of relief and let us solve your difficulty with our speedy loan transfer process.

Consumer Loans: High fee coming in the way between your child and a good education?
Or having a hard time paying your medical treatment fees?
We provide you 0% EMI with our partners across India.

Deposit Financing: Want to take a house on rent, but coming up with the advance is proving difficult? Let us deal with your landlord while you figure out the curtain colours.",http://www.liquiloans.com/,,Financial Services,"201-500 employees 207 on LinkedIn
            
 



    Includes members with current employer listed as LiquiLoans, including part-time roles.","Mumbai, Maharashtra",2018,"Money When You Need, No Hidden Charges, Small or Large Amount, Short or Long Tenure Loans, Loan in 12 hours, No hidden charges, Less paperwork, Education loans, Personal Loans, Consumer Loans, Deposit Financing , 0% EMI, P2P, and NBFC"
,http://www.fintreefinance.com,,Financial Services,"201-500 employees 114 on LinkedIn
            
 



    Includes members with current employer listed as Fintree Finance, including part-time roles.","Mumbai, Maharashtra",,
"Chaitanya India Fin Credit is an NBFC-MFI arm of Navi Group with a mission to make financial services simple, accessible and affordable. Navi Group was founded by Sachin Bansal (Co-founder of Flipkart & IIT Delhi) and Ankit Agarwal (Ex-Deutsche Bank, IIM Ahmedabad & IIT, Delhi) in 2018 and is into the financial services space by offering digital personal loans, home loans, mutual funds, health insurance and micro-loans. The company has its headquarters in Bengaluru.

Chaitanya India is the fastest-growing systemically important NBFC-MFI with an AUM of INR 3000+ Crores. The Company is looking to expand PAN India and has set a target AUM of INR 10,000 Cr by 2025. In May 2021, India Ratings assigned Chaitanya ‘IND A'/Stable, which talks about the quality of the portfolio, experience in the microfinance industry, strong capital structure and credit strengths.

Chaitanya offers a plethora of opportunities and promotes open-door culture with top management maintaining a close connection with the employees at various levels and across all areas. During this period of rapid growth, Chaitanya is excited to see how youthful talent develops into inspirational professionals.",http://www.chaitanyaindia.in,"080 - 2675 6767
            

              Phone number is 080 - 2675 6767",Financial Services,"1,001-5,000 employees 846 on LinkedIn
            
 



    Includes members with current employer listed as Chaitanya India Fin Credit Pvt Ltd, including part-time roles.","Bangalore , Karnataka",2009,"Microfinance, Financial Services, NBFC, RURAL, Financial Inclusion, Credit Assessment, Distributed Delivery, RISK MANAGEMENT, Retail Credit, Sustainable Business, Social Enterprises, Livelihood Finance, Digital Credit, Accounting, Micro Loans, Rural Loans, and Banking"
"The main function of the Department is to implement Indirect Taxation Laws such as Central Excise, Customs and Service Tax.",http://www.cbec.gov.in,,Financial Services,"10,001+ employees 4,718 on LinkedIn
            
 



    Includes members with current employer listed as Customs & Central Excise Department, Ministry of Finance, Government of India, including part-time roles.",,,
